"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 14/03/2023 13:01:46",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave genérico","Genérico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","001","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 900 GR           ","37.67","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","002","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 1 KG             ","35.05","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","003","SOS, BLANCO, EXTRA, BOLSA DE 1 KG                           ","30","1","KG    ","DESENCADENADO"
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","004","MP, BLANCO, SUPER EXTRA, BOLSA DE 900 GR                    ","19.61","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","005","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 900 GR           ","35.31","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","006","PRECISSIMO, BLANCO, EXTRA LARGO, BOLSA DE 900 GR            ","19.06","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","007","BLANCO, SUPER EXTRA, A GRANEL                               ","18","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","008","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 1 KG             ","35.5","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","009","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 900 GR           ","37.56","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","010","BUENA VISTA, BLANCO, LARGO, A GRANEL                        ","48","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","011","MORELOS, BLANCO, EXTRA, BOLSA DE 1 KG                       ","30","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","012","MORELOS, BLANCO, BOLSA DE 1 KG                              ","28","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","013","SINALOA, BLANCO, EXTRA, A GRANEL                            ","16.3","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","014","LA MERCED, BLANCO, SUPER EXTRA, BOLSA DE 900 GR             ","24.83","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","001","GAMESA, SALADAS, BOMBITOS, BOLSA DE 135 GR                  ","82.5","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","002","GAMESA, SALADAS, SALADITAS, CAJA DE 504 GR                  ","63.84","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","003","GAMESA, SALADAS, SALADITAS, PAQ DE 186 GR                   ","80.64","1","KG    ",""
