Periodo,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2019
I,3.425259804698,2.6784447357,4.077501222353,3.476,4.214123313684,3.943383442439,3.42131471772,2.798118200413,5.029940867751,4.489047428049,3.953144104358,1.824,2.549995229084,2.729636774415,4.226370538427,2.500482102548,2.130842399926,3.954658640227,3.45095789688,1.82006495947,2.693259016782,3.182113165889,3.054567865524,2.334854379736,3.596450845803,4.533359992384,7.824606986923,3.690840149589,3.69064504431,3.103421047476,1.82226399246,2.951458566526
II,3.720254333238,2.570786742371,4.906406855932,3.477,4.669757742284,3.727554644765,3.532046530371,3.242914980443,4.978946481851,4.120388982532,3.878436773433,1.399,2.494592424439,3.055385109714,4.450395671065,2.981017134165,2.335965518085,4.033477026221,3.432689306849,1.352309570604,2.667470569192,4.354293484897,2.893986835609,2.871468954387,3.023503789966,4.220094285817,7.293887833836,3.530045680964,4.167084532985,2.467858659881,1.892719018094,3.200420171592
III,3.535828681012,2.52785452918,4.446201548223,3.01,4.718420070851,3.666747754621,3.356658995603,3.121243980496,4.824269146889,3.773959774053,3.612026828195,1.403,2.05244758453,2.94167378774,4.620375361912,2.730615682697,2.384038462683,3.902313733074,3.445741492991,1.923366508882,2.608125454879,5.081551979583,3.351898814417,2.890009032294,3.266282611914,4.355364664576,6.915082100248,3.382887252572,3.490526699271,3.380842991582,1.823325951199,3.205020110725
IV,3.393097852882,2.401789058915,4.483194726528,3.223,4.578306996022,2.978358965655,2.543316052282,3.01633954743,5.198098994266,3.656070584114,3.429554973236,1.451,2.622757466887,3.056722392656,4.725346246356,2.667830248864,2.339991900987,3.80477853343,3.94943615755,2.011034718832,2.593973243293,4.353706629591,3.026259352725,2.438293921341,3.073390669481,4.025840158519,6.26856192086,3.282787368575,3.653111223725,2.858758816889,2.070086821007,2.885827329313
2020
I,3.511716449427,2.331295020112,3.979198861211,2.783,4.681622824575,3.154895115352,2.820787170504,3.232842820844,4.978340406489,3.916352125162,3.525962834274,1.584,1.972984073649,3.102317481523,5.214446849172,2.51735286147,2.327861380786,3.947992988237,3.765051299456,1.73359205559,3.101775125217,4.263267591441,3.040627061094,2.265535086352,2.962604114989,4.666638293088,5.641369950505,3.180991802724,3.88595635052,2.996066342728,1.869268173237,3.139683687273
II,4.601251764042,3.729766648227,6.342275775795,4.728,4.881916732385,5.817647813841,5.445127615197,2.894690626004,5.825383966571,4.400092787039,4.487118712266,3.809,3.699231031616,4.291742528013,5.863529533545,3.755436353183,4.429523759544,6.08780619506,4.318571551108,3.816187925341,3.591431180947,5.83340755867,5.035791376118,3.562807409641,4.27193979899,5.488106825416,8.553295189928,4.70539683379,4.892984744137,5.304155388097,3.984329340441,4.528328393165
III,4.819216759722,2.398278359086,6.654906101207,3.826,7.213483501166,3.995499385705,3.118601310384,4.57585576562,7.69241498866,4.641719339687,6.224284562083,3.286,3.342096733199,4.608721125938,6.39430600924,2.395255709196,2.45943824177,4.533781335814,4.998880986874,2.933707526148,4.292257848074,7.754478313084,9.592836936618,3.445863632777,4.788305907531,5.833850351001,7.128077227561,3.54941765102,6.193424295231,2.600326987093,3.390292684647,3.77525113146
IV,5.269826649201,3.085403981893,5.603019984824,3.39,6.470752791377,3.822757798182,2.820096425017,4.30416553368,6.851625133579,5.394381834145,5.6461178552,2.405,2.266738292175,4.056495751976,6.662407003144,2.248143610544,2.32455052363,4.302830924159,4.505292321286,1.68094461843,6.102864508412,6.355858354609,8.581756274657,3.479482148108,2.600346410323,5.253105431633,7.938242454225,3.374623123036,5.786454864792,3.39354523584,2.831377875127,4.512481260683
